MiniDOT Logger Concatenated Data File
Sensor:             7392-419694
Concatenation Date: 2018Apr07 15:30:50 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 246.89 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1519100280,           2018-02-20 04:18:00,           2018-02-19 22:18:00,      3.470000,      7.525000,          0.044000,                     0.378276,      0.968000
                1519100880,           2018-02-20 04:28:00,           2018-02-19 22:28:00,      3.470000,      7.544000,          0.044000,                     0.378453,      0.968000
                1519101480,           2018-02-20 04:38:00,           2018-02-19 22:38:00,      3.470000,      7.516000,          0.043000,                     0.369597,      0.968000
                1519102080,           2018-02-20 04:48:00,           2018-02-19 22:48:00,      3.470000,      7.535000,          0.043000,                     0.369770,      0.968000
                1519102680,           2018-02-20 04:58:00,           2018-02-19 22:58:00,      3.470000,      7.516000,          0.041000,                     0.352406,      0.968000
                1519103280,           2018-02-20 05:08:00,           2018-02-19 23:08:00,      3.470000,      7.506000,          0.043000,                     0.369506,      0.968000
                1519103880,           2018-02-20 05:18:00,           2018-02-19 23:18:00,      3.460000,      7.525000,          0.041000,                     0.352485,      0.968000
                1519104480,           2018-02-20 05:28:00,           2018-02-19 23:28:00,      3.470000,      7.525000,          0.040000,                     0.343887,      0.968000
                1519105080,           2018-02-20 05:38:00,           2018-02-19 23:38:00,      3.470000,      7.516000,          0.041000,                     0.352406,      0.968000
                1519105680,           2018-02-20 05:48:00,           2018-02-19 23:48:00,      3.470000,      7.544000,          0.040000,                     0.344049,      0.968000
                1519106280,           2018-02-20 05:58:00,           2018-02-19 23:58:00,      3.460000,      7.516000,          0.040000,                     0.343811,      0.968000
                1519106880,           2018-02-20 06:08:00,           2018-02-20 00:08:00,      3.460000,      7.497000,          0.040000,                     0.343650,      0.968000
                1519107480,           2018-02-20 06:18:00,           2018-02-20 00:18:00,      3.460000,      7.525000,          0.039000,                     0.335290,      0.968000
                1519108080,           2018-02-20 06:28:00,           2018-02-20 00:28:00,      3.460000,      7.516000,          0.039000,                     0.335216,      0.968000
                1519108680,           2018-02-20 06:38:00,           2018-02-20 00:38:00,      3.460000,      7.487000,          0.038000,                     0.326387,      0.968000
                1519109280,           2018-02-20 06:48:00,           2018-02-20 00:48:00,      3.460000,      7.506000,          0.040000,                     0.343726,      0.968000
                1519109880,           2018-02-20 06:58:00,           2018-02-20 00:58:00,      3.460000,      7.478000,          0.037000,                     0.317727,      0.968000
                1519110480,           2018-02-20 07:08:00,           2018-02-20 01:08:00,      3.460000,      7.487000,          0.037000,                     0.317798,      0.968000
                1519111080,           2018-02-20 07:18:00,           2018-02-20 01:18:00,      3.460000,      7.478000,          0.036000,                     0.309140,      0.968000
                1519111680,           2018-02-20 07:28:00,           2018-02-20 01:28:00,      3.460000,      7.439000,          0.036000,                     0.308842,      0.968000
                1519112280,           2018-02-20 07:38:00,           2018-02-20 01:38:00,      3.460000,      7.449000,          0.038000,                     0.326080,      0.968000
                1519112880,           2018-02-20 07:48:00,           2018-02-20 01:48:00,      3.460000,      7.411000,          0.036000,                     0.308628,      0.968000
                1519113480,           2018-02-20 07:58:00,           2018-02-20 01:58:00,      3.460000,      7.439000,          0.036000,                     0.308842,      0.968000
                1519114080,           2018-02-20 08:08:00,           2018-02-20 02:08:00,      3.460000,      7.420000,          0.039000,                     0.334422,      0.968000
                1519114680,           2018-02-20 08:18:00,           2018-02-20 02:18:00,      3.460000,      7.411000,          0.036000,                     0.308628,      0.968000
                1519115280,           2018-02-20 08:28:00,           2018-02-20 02:28:00,      3.460000,      7.382000,          0.037000,                     0.316974,      0.968000
                1519115880,           2018-02-20 08:38:00,           2018-02-20 02:38:00,      3.460000,      7.392000,          0.036000,                     0.308483,      0.968000
                1519116480,           2018-02-20 08:48:00,           2018-02-20 02:48:00,      3.460000,      7.382000,          0.037000,                     0.316974,      0.968000
                1519117080,           2018-02-20 08:58:00,           2018-02-20 02:58:00,      3.450000,      7.373000,          0.037000,                     0.316903,      0.968000
                1519117680,           2018-02-20 09:08:00,           2018-02-20 03:08:00,      3.460000,      7.334000,          0.037000,                     0.316597,      0.968000
                1519118280,           2018-02-20 09:18:00,           2018-02-20 03:18:00,      3.460000,      7.325000,          0.036000,                     0.307972,      0.968000
                1519118880,           2018-02-20 09:28:00,           2018-02-20 03:28:00,      3.460000,      7.306000,          0.036000,                     0.307827,      0.968000
                1519119480,           2018-02-20 09:38:00,           2018-02-20 03:38:00,      3.450000,      7.315000,          0.037000,                     0.316449,      0.968000
                1519120080,           2018-02-20 09:48:00,           2018-02-20 03:48:00,      3.450000,      7.296000,          0.036000,                     0.307751,      0.968000
