MiniDOT Logger Concatenated Data File
Sensor:             7392-080779
Concatenation Date: 2018Apr22 17:19:16 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 249.02 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1517385840,           2018-01-31 08:04:00,           2018-01-31 02:04:00,      3.450000,      2.493000,         12.977000,                    97.980315,      0.996000
                1517386440,           2018-01-31 08:14:00,           2018-01-31 02:14:00,      3.450000,      2.483000,         12.942000,                    97.689593,      0.996000
                1517387040,           2018-01-31 08:24:00,           2018-01-31 02:24:00,      3.450000,      2.483000,         12.909000,                    97.440501,      0.996000
                1517387640,           2018-01-31 08:34:00,           2018-01-31 02:34:00,      3.450000,      2.398000,         12.925000,                    97.336734,      0.996000
                1517388240,           2018-01-31 08:44:00,           2018-01-31 02:44:00,      3.440000,      2.504000,         12.837000,                    96.952147,      0.997000
                1517388840,           2018-01-31 08:54:00,           2018-01-31 02:54:00,      3.440000,      2.462000,         12.819000,                    96.706123,      0.996000
                1517389440,           2018-01-31 09:04:00,           2018-01-31 03:04:00,      3.450000,      2.514000,         12.722000,                    96.109619,      0.996000
                1517390040,           2018-01-31 09:14:00,           2018-01-31 03:14:00,      3.440000,      2.525000,         12.706000,                    96.017330,      0.997000
                1517390640,           2018-01-31 09:24:00,           2018-01-31 03:24:00,      3.440000,      2.535000,         12.664000,                    95.725845,      0.997000
                1517391240,           2018-01-31 09:34:00,           2018-01-31 03:34:00,      3.440000,      2.514000,         12.654000,                    95.595907,      0.996000
                1517391840,           2018-01-31 09:44:00,           2018-01-31 03:44:00,      3.440000,      2.514000,         12.580000,                    95.036866,      0.996000
                1517392440,           2018-01-31 09:54:00,           2018-01-31 03:54:00,      3.440000,      2.567000,         12.548000,                    94.931156,      0.996000
                1517393040,           2018-01-31 10:04:00,           2018-01-31 04:04:00,      3.440000,      2.483000,         12.592000,                    95.047702,      0.996000
                1517393640,           2018-01-31 10:14:00,           2018-01-31 04:14:00,      3.440000,      2.493000,         12.550000,                    94.756335,      0.996000
                1517394240,           2018-01-31 10:24:00,           2018-01-31 04:24:00,      3.440000,      2.419000,         12.590000,                    94.867908,      0.996000
                1517394840,           2018-01-31 10:34:00,           2018-01-31 04:34:00,      3.440000,      2.430000,         12.588000,                    94.881134,      0.997000
                1517395440,           2018-01-31 10:44:00,           2018-01-31 04:44:00,      3.440000,      2.409000,         12.543000,                    94.488125,      0.996000
                1517396040,           2018-01-31 10:54:00,           2018-01-31 04:54:00,      3.440000,      2.388000,         12.537000,                    94.389136,      0.996000
                1517396640,           2018-01-31 11:04:00,           2018-01-31 05:04:00,      3.440000,      2.367000,         12.527000,                    94.260110,      0.996000
