DateTime,tz_cd,GageHeight_ft
1/4/2018 17:15,CST,6.21
1/4/2018 17:30,CST,6.23
1/4/2018 17:45,CST,6.25
1/4/2018 18:00,CST,6.26
1/4/2018 18:15,CST,6.29
1/4/2018 18:30,CST,6.31
1/4/2018 18:45,CST,6.31
1/4/2018 19:00,CST,6.33
1/4/2018 19:15,CST,6.33
1/4/2018 19:30,CST,6.34
1/4/2018 19:45,CST,6.35
1/4/2018 20:00,CST,6.35
1/4/2018 20:15,CST,6.36
1/4/2018 20:30,CST,6.37
1/4/2018 20:45,CST,6.38
1/4/2018 21:00,CST,6.38
1/4/2018 21:15,CST,6.38
1/4/2018 21:30,CST,6.38
1/4/2018 21:45,CST,6.38
1/4/2018 22:00,CST,6.38
1/4/2018 22:15,CST,6.38
1/4/2018 22:30,CST,6.37
1/4/2018 22:45,CST,6.38
1/4/2018 23:00,CST,6.37
1/4/2018 23:15,CST,6.37
1/4/2018 23:30,CST,6.36
1/4/2018 23:45,CST,6.35
1/5/2018 0:00,CST,6.36
1/5/2018 0:15,CST,6.35
1/5/2018 0:30,CST,6.33
1/5/2018 0:45,CST,6.33
1/5/2018 1:00,CST,6.33
1/5/2018 1:15,CST,6.32
1/5/2018 1:30,CST,6.31
1/5/2018 1:45,CST,6.32
1/5/2018 2:00,CST,6.31
1/5/2018 2:15,CST,6.31
1/5/2018 2:30,CST,6.3
1/5/2018 2:45,CST,6.29
1/5/2018 3:00,CST,6.28
1/5/2018 3:15,CST,6.29
1/5/2018 3:30,CST,6.28
1/5/2018 3:45,CST,6.27
1/5/2018 4:00,CST,6.27
1/5/2018 4:15,CST,6.26
1/5/2018 4:30,CST,6.25
1/5/2018 4:45,CST,6.24
1/5/2018 5:00,CST,6.24
1/5/2018 5:15,CST,6.25
1/5/2018 5:30,CST,6.24
1/5/2018 5:45,CST,6.24
1/5/2018 6:00,CST,6.24
1/5/2018 6:15,CST,6.23
1/5/2018 6:30,CST,6.23
1/5/2018 6:45,CST,6.22
1/5/2018 7:00,CST,6.22
1/5/2018 7:15,CST,6.21
1/5/2018 7:30,CST,6.21
1/5/2018 7:45,CST,6.21
1/5/2018 8:00,CST,6.21
1/5/2018 8:15,CST,6.22
1/5/2018 8:30,CST,6.22
1/5/2018 8:45,CST,6.22
1/5/2018 9:00,CST,6.22
1/5/2018 9:15,CST,6.21
1/5/2018 9:30,CST,6.21
1/5/2018 9:45,CST,6.22
1/5/2018 10:00,CST,6.21
1/5/2018 10:15,CST,6.22
1/5/2018 10:30,CST,6.2
1/5/2018 10:45,CST,6.21
1/5/2018 11:00,CST,6.21
1/5/2018 11:15,CST,6.21
1/5/2018 11:30,CST,6.21
1/5/2018 11:45,CST,6.21
1/5/2018 12:00,CST,6.2
1/5/2018 12:15,CST,6.21
1/5/2018 12:30,CST,6.21
1/5/2018 12:45,CST,6.21
1/5/2018 13:00,CST,6.2
1/5/2018 13:15,CST,6.2
1/5/2018 13:30,CST,6.2
1/5/2018 13:45,CST,6.2
1/5/2018 14:00,CST,6.21
1/5/2018 14:15,CST,6.22
1/5/2018 14:30,CST,6.23
1/5/2018 14:45,CST,6.23
1/5/2018 15:00,CST,6.25
1/5/2018 15:15,CST,6.26
1/5/2018 15:30,CST,6.26
1/5/2018 15:45,CST,6.28
1/5/2018 16:00,CST,6.29
1/5/2018 16:15,CST,6.29
1/5/2018 16:30,CST,6.3
1/5/2018 16:45,CST,6.32
1/5/2018 17:00,CST,6.33
1/5/2018 17:15,CST,6.34
1/5/2018 17:30,CST,6.35
1/5/2018 17:45,CST,6.35
1/5/2018 18:00,CST,6.37
1/5/2018 18:15,CST,6.37
1/5/2018 18:30,CST,6.39
1/5/2018 18:45,CST,6.39
1/5/2018 19:00,CST,6.4
