"Date","Mean.Discharge_m3s.eric","Mean.Nitrate_mgL.eric","Mean.velocity_ms.eric","UaNO3_kgNm2day.eric","Mean.Discharge_m3s.steve","Mean.Nitrate_mgL.steve","Mean.velocity_ms.steve","UaNO3_kgNm2day.steve","Mean.Discharge_m3s.desoto","Mean.Nitrate_mgL.desoto","Mean.velocity_ms.desoto","UaNO3_kgNm2day.desoto","ReleaseStatus"
2018-03-28,45.133445,7.26869,0.347180346153846,459.544195871072,45.15467875,0.32220245,0.347343682692308,30.7618806823254,55.40889875,0.644875,0.426222298076923,189.283617686769,"During"
2018-03-29,42.3985020833333,6.07881260416667,0.326142323717949,1274.80797551732,42.432428125,0.283385322916667,0.326403293269231,35.873914838174,51.05871875,0.516354166666667,0.392759375,94.592167875,"During"
2018-03-30,42.3365739583333,3.7986684375,0.325665953525641,1760.4008204066,42.340996875,0.26535390625,0.325699975961538,33.1905329155549,50.1413833333333,0.393854166666667,0.385702948717949,66.3995340276924,"During"
2018-03-31,38.636196875,2.62141052083333,0.297201514423077,835.801176155422,38.6553666666667,0.216012104166667,0.297348974358974,25.265014678872,45.4572989583333,0.231354166666667,0.349671530448718,73.7918824136538,"During"
2018-04-01,37.7852177083333,2.46536427083333,0.290655520833333,505.594666950367,37.7793197916667,0.211207322916667,0.29061015224359,25.5538696002667,45.0885739583333,0.213333333333333,0.346835184294872,30.8655567207692,"After"
2018-04-02,36.5139260416667,2.69401489583333,0.280876354166667,469.168682800387,36.5080197916667,0.229306291666667,0.280830921474359,24.0285784194651,42.690528125,0.223854166666667,0.328388677884615,39.5090986136538,"After"
2018-04-03,37.233640625,2.8031103125,0.286412620192308,454.767138361341,37.2513395833333,0.217240989583333,0.286548766025641,27.433984464612,43.578365625,0.235625,0.335218197115385,43.8787211296154,"After"
2018-04-04,37.5802166666667,2.588091875,0.28907858974359,461.513487498868,37.6023416666667,0.210022947916667,0.289248782051282,24.542242211628,44.1918927083333,0.245416666666667,0.339937636217949,50.3705991842308,"After"
2018-04-05,38.288140625,3.909174375,0.294524158653846,841.939021557657,38.295515625,0.225761083333333,0.294580889423077,44.5952627455275,44.056209375,0.211022727272727,0.338893918269231,NA,"After"
2018-04-06,36.8206864583333,5.4984159375,0.283236049679487,466.742381858327,36.86788125,0.299630354166667,0.283599086538462,26.1270295885821,43.059234375,0.245729166666667,0.331224879807692,38.5625254067308,"After"
2018-04-07,36.834835,3.331520375,0.283344884615385,805.856129195114,36.82952125,0.256890775,0.283304009615385,26.6352652452405,42.591995,0.299375,0.327630730769231,27.2457715707692,"After"
2018-04-08,37.9940725,3.223629625,0.292262096153846,507.989507835497,38.00469,0.2477673,0.292343769230769,27.165593260052,42.613235,0.2185,0.327794115384615,41.2076538332308,"After"
2018-04-09,36.7248197916667,3.00046833333333,0.282498613782051,802.438718161019,36.7602166666667,0.238038333333333,0.282770897435897,34.5202200828388,42.3424614583333,0.231354166666667,0.325711241987179,31.1666573232692,"After"
2018-04-10,37.3280177083333,2.41190541666667,0.28713859775641,582.958451993037,37.3250666666667,0.211257854166667,0.287115897435897,19.7727110517711,42.1566125,0.226041666666667,0.324281634615385,42.5872585107692,"After"
2018-04-11,37.8855145833333,2.35241510416667,0.29142703525641,502.853010569235,37.8855145833333,0.207133677083333,0.29142703525641,22.1040351376318,42.65515,0.212261904761905,0.328116538461538,NA,"After"
2018-04-12,36.8015135416667,2.32543010416667,0.283088565705128,330.511061731467,36.8015135416667,0.204283395833333,0.283088565705128,36.35262317362,42.5990916666667,0.189479166666667,0.327685320512821,21.16322874,"After"
2018-04-13,35.0671010416667,2.649526875,0.269746931089744,479.362329475806,35.0671010416667,0.206031125,0.269746931089744,33.196664168423,41.3956135416667,0.188541666666667,0.318427796474359,14.1687632319231,"After"
2018-04-14,35.0641645833333,2.886125625,0.269724342948718,888.161690473359,35.0641645833333,0.2080715,0.269724342948718,66.6516710714217,46.8318479166667,0.329166666666667,0.360244983974359,158.893975571539,"After"
2018-04-15,33.0628125,2.81770614583333,0.254329326923077,578.675666076404,33.0628125,0.234224427083333,0.254329326923077,43.5197015385231,40.8410885416667,0.301354166666667,0.314162219551282,87.0631475798077,"After"
2018-04-16,36.1747208333333,3.48586875,0.278267083333333,NA,36.1835697916667,0.234129625,0.27833515224359,39.6012246365854,42.8498,0.2446875,0.329613846153846,44.6402624123077,"After"
2018-04-17,36.6481322916667,2.69794125,0.281908709935897,NA,36.6466572916667,0.225799083333333,0.281897363782051,23.270406598193,41.1006666666667,0.201354166666667,0.316158974358974,29.0233938461538,"After"
2018-04-18,32.6985302083333,2.94381489583333,0.251527155448718,212.548919800979,32.6985302083333,0.225545364583333,0.251527155448718,19.2754648226012,43.7052104166667,0.186979166666667,0.336193926282051,48.2908955711539,"After"
2018-04-19,33.2486458333333,2.34811416666667,0.255758814102564,469.525010008154,33.2486458333333,0.219896104166667,0.255758814102564,30.1333839870461,38.779271875,0.185,0.298302091346154,27.4485652373077,"After"
2018-04-20,34.2751166666667,2.42647927083333,0.263654743589744,375.272049114526,34.285440625,0.243297197368421,0.263734158653846,NA,38.5668770833333,0.187916666666667,0.29666828525641,17.0453729976923,"After"
2018-04-21,32.2693510416667,2.78770916666667,0.24822577724359,389.008202404573,32.2723041666667,0.227056416666667,0.248248493589744,41.6682665641135,37.4932197916667,0.184583333333333,0.28840938301282,18.1905566053846,"After"
2018-04-22,34.9078333333333,2.71892875,0.268521794871795,515.256478872369,34.8945635416667,0.240801239583333,0.268419719551282,37.6965068050367,38.466615625,0.179791666666667,0.295897043269231,15.8506128138462,"After"
2018-04-23,35.5184010416667,2.07715125,0.273218469551282,749.133267108733,35.5110291666667,0.208731979166667,0.273161762820513,46.6655674614425,40.4458458333333,0.190125,0.311121891025641,NA,"After"
2018-04-24,34.87834375,2.84919166666667,0.268294951923077,354.318607043169,34.9004666666667,0.230299145833333,0.268465128205128,33.0994288360357,39.4164166666667,0.193125,0.303203205128205,17.2898595692308,"After"
2018-04-25,34.0509520833333,3.346711875,0.261930400641026,871.746047507797,34.0598010416667,0.237650354166667,0.261998469551282,56.7224018386112,38.965090625,0.181770833333333,0.299731466346154,17.1566291336538,"After"
