"Date","Mean.Discharge_m3s.eric","Mean.Nitrate_mgL.eric","UaNO3_gNm2day.eric","Mean.Discharge_m3s.steve","Mean.Nitrate_mgL.steve","UaNO3_gNm2day.steve","Mean.Discharge_m3s.desoto","Mean.Nitrate_mgL.desoto","UaNO3_gNm2day.desoto","ReleaseStatus"
2018-04-28,43.6757125,2.11658953125,2822.50458757479,43.6609520833333,0.180421880208333,413.602153432796,46.3422020833333,0.200729166666667,175.809701247556,"After"
2018-04-29,37.4534,2.4366371875,1798.44707883892,37.4991145833333,0.202330229166667,261.526074932986,44.3039947916667,0.193333333333333,244.665097043167,"After"
2018-04-30,38.1550315789474,2.11685986842105,3186.62045919122,38.1308131578947,0.212400802631579,275.967084666269,41.5847197368421,0.185526315789474,188.988049108957,"After"
2018-01-31,NA,NA,NA,63.6066,0.485955,NA,68.8216125,0.885416666666667,NA,"During"
2018-02-01,NA,NA,NA,66.7922572916667,0.485955,NA,73.237278125,0.843072916666667,780.249921277251,"During"
2018-02-02,NA,NA,NA,66.91316875,0.485955,NA,75.45838125,0.828802083333333,688.225033247628,"During"
2018-02-03,NA,NA,NA,69.648996875,0.485955,NA,76.07485625,0.816770833333333,731.336845062288,"During"
2018-02-04,NA,NA,NA,85.171621875,0.485955,NA,94.3849135416667,0.758854166666667,1376.54179041293,"During"
2018-02-05,NA,NA,NA,82.416625,0.485955,NA,86.1440354166667,0.677395833333333,1246.24657770243,"During"
2018-02-06,NA,NA,NA,72.4320104166667,0.485955,NA,72.2486458333333,0.694375,424.418278137901,"During"
2018-02-07,NA,NA,NA,59.8959302083333,0.485955,NA,75.4303510416667,0.819114583333333,-68.442922999203,"During"
2018-02-08,NA,NA,NA,80.1291677083333,0.485955,NA,75.3875822916667,0.904166666666667,396.861811493265,"During"
2018-02-09,NA,NA,NA,97.0274657552083,0.485955,NA,95.8813680555556,0.822552083333333,2135.23716406533,"During"
2018-02-10,NA,NA,NA,86.3113595052083,0.496169760416667,NA,79.8681234375,0.824583333333333,958.348065918555,"During"
2018-02-11,NA,NA,NA,68.4252598958333,0.522350869791667,987.49627708515,70.6833616319445,0.861875,384.814002111248,"During"
2018-02-12,NA,NA,NA,70.0910807291667,0.550047453125,1888.62025781926,72.3420505208333,0.837395833333333,1012.90397672829,"During"
2018-02-13,NA,NA,NA,68.4470145833333,0.396489265625,4823.07038301568,70.7993802083333,0.857916666666667,1078.25092146647,"During"
2018-02-14,NA,NA,NA,76.3491708333333,0.423723630208333,5003.09557713491,71.0869729166667,0.852708333333333,1435.16705486891,"During"
2018-02-15,NA,NA,NA,77.0452947916667,0.48010740922619,2710.29277629884,77.5585322916667,0.90453125,564.811711802889,"During"
2018-02-16,NA,NA,NA,66.8739496527778,0.653016584821429,-263.396498285369,72.134096875,0.938125,396.661778165966,"During"
2018-02-17,NA,NA,NA,60.2380958333333,0.695709489583333,682.78521967206,63.9900822916667,0.885,983.55727268324,"During"
2018-02-18,NA,NA,NA,58.0553354166667,0.71833325,953.895107547006,59.7396083333333,0.919166666666667,516.823114087057,"During"
