"Date","calcdepth_m.eric","Max.PreDawnN_mgL.eric","Min.Nitrate_mgL.eric","NitrateChange_Perc.eric","Mean.Nitrate_mgL.eric","Mean.Discharge_m3s.eric","SumDiff_mgNL.eric","A_m2.eric","UaNO3_mgNm2day.eric","UaNO3_gNm2day.eric","calcdepth_m.steve","Max.PreDawnN_mgL.steve","Min.Nitrate_mgL.steve","NitrateChange_Perc.steve","Mean.Nitrate_mgL.steve","Mean.Discharge_m3s.steve","SumDiff_mgNL.steve","A_m2.steve","UaNO3_mgNm2day.steve","UaNO3_gNm2day.steve","calcdepth_m.desoto","Max.PreDawnN_mgL.desoto","Min.Nitrate_mgL.desoto","NitrateChange_Perc.desoto","Mean.Nitrate_mgL.desoto","Mean.Discharge_m3s.desoto","SumDiff_mgNL.desoto","A_m2.desoto","UaNO3_mgNm2day.desoto","UaNO3_gNm2day.desoto","ReleaseStatus","UaNO3_gNm2day.eric_scaled","Supply_gNm2day.eric","Supply_gNm2day.steve","Supply_gNm2day.desoto","Month"
2018-03-20,1.27816414866317,6.7913425,4.81389,-29.1172547990327,5.43160314814815,48.2211435185185,12.2376541666667,269.564818953063,189141231.295132,189141.231295132,1.27816414866317,0.213762197538101,0.213762197538101,NA,0.216852718053927,48.2432645833333,-0.0247241641266119,144.943814458404,NA,NA,1.45816662342139,1.37083333333333,0.726666666666667,NA,1.06678571428571,78.6836166666667,2.12833333333333,201.329065695791,71867282.8068585,NA,"During",47285.3078237829,104964.796774188,NA,NA,"Mar"
2018-03-21,1.24425497385912,5.0421525,5.00997,NA,5.63952285714286,44.150619047619,-4.1815925,262.413373986888,NA,NA,1.24425497385912,0.220826244431419,0.220826244431419,NA,0.223916764947245,44.3792166666667,-0.024724164126612,141.098514035624,NA,NA,1.34119985319144,0.673333333333333,0.408333333333333,NA,0.508333333333333,58.2644425925926,1.485,185.179463730143,40369276.8723747,NA,"During",NA,NA,NA,NA,"Mar"
2018-03-22,1.22035993160212,5.60408833333333,4.94230666666667,NA,5.88185739583333,42.1123989583333,-2.2221525,257.373909574888,NA,NA,1.22035993160212,0.227890291324736,0.227890291324736,NA,0.230980811840563,41.3440114583333,-0.0247241641266119,138.388816243681,NA,NA,1.30891332726185,0.4425,0.320833333333333,-27.4952919020716,0.3725,52.5955041666667,0.56,180.721663095044,14081216.5515634,14081.2165515634,"During",NA,NA,NA,11126.6755786907,"Mar"
2018-03-23,1.19373086664714,5.99922583333333,5.16366833333333,NA,6.8763840625,38.764525,-7.01726583333334,251.757839775881,NA,NA,1.19373086664714,0.234954338218054,0.234954338218054,NA,0.23804485873388,38.3323979166667,-0.024724164126612,135.369080277785,NA,NA,1.26944281135166,0.350833333333333,0.331666666666667,NA,0.352708333333333,47.3450979166667,-0.015,175.271968963324,NA,NA,"During",NA,NA,NA,NA,"Mar"
2018-03-24,1.19224719612455,7.38500666666667,6.02602583333333,-18.4018904067791,7.27442916666667,37.7498291666667,0.884619999999997,251.444933662667,11474733.2267971,11474.7332267971,1.19224719612455,0.242018385111372,0.242018385111372,NA,0.245108905627198,38.0241458333333,-0.024724164126612,135.200832040524,NA,NA,1.24891684283529,0.361666666666667,0.361666666666667,NA,0.413809523809524,44.423644047619,-0.365,172.437948490269,NA,NA,"During",2868.68330669927,95793.653069248,NA,NA,"Mar"
2018-03-25,1.21879090313693,7.77410833333333,5.45737083333333,-29.8006845372406,6.98451722222222,40.6490259259259,7.10632,257.043001471578,97096340.4583043,97096.3404583043,1.21879090313693,0.249082432004689,0.249082432004689,NA,0.252172952520516,40.9089270833333,-0.0247241641266118,138.210888415728,NA,NA,1.25627721467885,0.374166666666667,0.345833333333333,NA,0.412916666666667,45.2537635416667,-0.31,173.454195030709,NA,NA,"During",24274.0851145761,106220.585266787,NA,NA,"Mar"
2018-03-26,1.24565025039447,7.5491675,7.5491675,NA,10.3126271428571,44.5180511904762,-19.3442175,262.707637808193,NA,NA,1.24581543313215,0.256146478898007,0.256146478898007,NA,0.259236999413834,44.237621875,-0.0247241641266121,141.275470117186,NA,NA,1.35716817012139,0.356666666666667,0.315,NA,0.511944444444444,57.3336685185185,-1.3975,187.38420924866,NA,NA,"During",NA,NA,NA,NA,"Mar"
2018-03-27,1.24693202436644,7.87855333333333,6.21818,-21.0745966052989,6.90729239583333,43.116740625,7.7700875,262.977963938882,110069303.067486,110069.303067486,1.24682601717846,0.263210525791325,0.263210525791325,NA,0.29620555612544,44.062109375,-0.263960242672919,141.390070348037,NA,NA,1.36360428467902,1.21666666666667,0.686666666666667,NA,1.02791666666667,61.0079572916667,1.51,188.272843585632,42275571.9227232,NA,"During",27517.3257668714,111605.805543376,NA,NA,"Mar"
2018-03-28,1.23826951406248,7.27501166666667,6.59320083333333,NA,7.39230864583333,44.4293614583333,-0.938375833333333,261.151040515776,NA,NA,1.23827029079804,0.323207,0.294289333333333,NA,0.325900822916667,43.6063989583333,-0.0215505833333333,140.419850976498,NA,NA,1.32260727579631,0.703333333333333,0.498333333333333,NA,0.594270833333333,54.3653052083333,0.8725,182.612386569197,22442476.3556335,NA,"During",NA,NA,NA,NA,"Mar"
2018-03-29,1.23431652296284,7.35003,4.67710583333333,-36.3661667594101,5.95722614583333,42.3822802083333,11.1424308333333,260.317354692863,156738211.002331,156738.21100233,1.23465613936108,0.327999083333333,0.2197175,-33.012770106827,0.277424488095238,42.3184476190476,0.354022166666667,140.010006203546,9245168.93389895,9245.16893389895,1.29711666046439,0.545833333333333,0.455833333333333,NA,0.515238095238095,50.9162869047619,0.214166666666667,179.092897310318,5260705.40504587,NA,"During",39184.5527505826,103391.312923126,8565.58492970261,NA,"Mar"
