"date","GPP","ER","Uaut_gNm2day","HR","Uhet_gNm2day","U_gNm2day"
2018-04-23,14.13467610768,9.27175119846981,0.353366902691999,6.44481597693382,0.322240798846691,0.67560770153869
2018-04-24,13.3729605085187,10.9340952677498,0.334324012712968,8.2595031660461,0.412975158302305,0.747299171015273
2018-04-25,NA,NA,NA,NA,NA,NA
2018-04-26,NA,NA,NA,NA,NA,NA
2018-04-27,NA,NA,NA,NA,NA,NA
2018-04-28,NA,NA,NA,NA,NA,NA
2018-04-29,NA,NA,NA,NA,NA,NA
2018-04-30,NA,NA,NA,NA,NA,NA
2018-05-01,7.54374411249189,10.3192299124741,0.188593602812297,8.81048108997572,0.440524054498786,0.629117657311083
2018-05-02,8.37859271435655,11.5200125323745,0.209464817858914,9.84429398950315,0.492214699475158,0.701679517334071
